Id,Mobile,Route,Day,StartDate,Location,Postcode,Start,End
118,Wells,A,Wednesday,4/13/2016,Fore Street Middle Farmhouse,BA22 7QW,14:20,14:40
119,Wells,B,Thursday,4/14/2016,Ashcott School,TA7 9PP,9:30,10:00
120,Wells,B,Thursday,4/14/2016,Middle Street,TA7 9QB,10:05,10:20
121,Wells,B,Thursday,4/14/2016,Wellfield House,TA7 9HT,10:35,10:55
122,Wells,B,Thursday,4/14/2016,Church Lane,TA7 9DY,11:10,11:40
123,Wells,B,Thursday,4/14/2016,Station Road,TA7 8JZ,11:50,12:20
124,Wells,B,Thursday,4/14/2016,Westham Farm,BS28 4UR,12:50,13:05
125,Wells,B,Thursday,4/14/2016,Central Car Park,BS28 4AN,13:45,14:45
126,Wells,B,Thursday,4/14/2016,Little Owls (Childcare),BS28 4SA,14:50,15:05
127,Wells,B,Thursday,4/14/2016,Honeycombe House,BS28 4TD,15:10,15:30
128,Wells,C,Friday,4/15/2016,Woolavington Village Hall,TA7 8DY,9:15,10:00
129,Wells,C,Friday,4/15/2016,Puriton Village Hall,TA7 8BP,10:10,10:25
130,Wells,C,Friday,4/15/2016,Gaunts Road,TA6 4SF,10:30,10:50
131,Wells,C,Friday,4/15/2016,Chapel Road,TA6 4SH,10:55,11:10
132,Wells,C,Friday,4/15/2016,Brent Knoll Post Office,TA9 4DT,11:30,12:00
133,Wells,C,Friday,4/15/2016,Pinewood Estate,TA8 2RU,12:15,12:30
134,Wells,C,Friday,4/15/2016,War Memorial,BS24 0DS,13:20,13:50
135,Wells,C,Friday,4/15/2016,Stone Bow Farm,BS24 0HT,13:55,14:00
136,Wells,C,Friday,4/15/2016,East Drive (off Strowlands),TA9 4JQ,14:05,14:25
137,Wells,D,Tuesday,4/19/2016,Hemington School,BA3 5XU,9:30,10:00
138,Wells,D,Tuesday,4/19/2016,Tellisford Lane Estate,BA2 7LL,10:15,10:55
139,Wells,D,Tuesday,4/19/2016,Marsh Road (Pre school),BA11 6PB,11:05,11:20
140,Wells,D,Tuesday,4/19/2016,The Green,BA11 6PE,11:25,11:45
141,Wells,D,Tuesday,4/19/2016,Market Place,BA11 4LY,12:05,12:20
142,Wells,D,Tuesday,4/19/2016,Seymour Arms,BA11 5HF,12:35,12:45
143,Wells,E,Wednesday,4/20/2016,Nine Barrows Corner,BA5 3BH,9:15,9:35
144,Wells,E,Wednesday,4/20/2016,Priddy School (Pre-school),BA5 3BE,9:40,10:00
145,Wells,E,Wednesday,4/20/2016,Stoneleigh Housing Estate,BA5 1HG,10:15,10:25
146,Wells,E,Wednesday,4/20/2016,Henley Corner Farm (Telephone Box),TA10 9BQ,11:10,11:20
147,Wells,E,Wednesday,4/20/2016,Chapel,TA10 9BH,11:25,11:35
148,Wells,E,Wednesday,4/20/2016,Broadacre Farm,TA10 9AY,11:40,11:50
149,Wells,E,Wednesday,4/20/2016,Nythe Road Sunnymead,TA7 9BL,12:30,12:50
150,Wells,E,Wednesday,4/20/2016,Cricket Club,TA7 9LN,13:30,13:50
151,Wells,E,Wednesday,4/20/2016,Holywell Road,TA7 9LD,14:00,14:15
152,Wells,E,Wednesday,4/20/2016,Church Layby,TA7 8NT,14:25,14:40
153,Wells,E,Wednesday,4/20/2016,Catcott Burtle,TA7 8NB,14:50,15:05
154,Wells,E,Wednesday,4/20/2016,Abbots Close,BA6 9TF,15:20,15:50
155,Wells,F,Thursday,4/21/2016,Next Steps Childcare Centre,BA4 6QL,9:55,10:25
156,Wells,F,Thursday,4/21/2016,North Wootton Church,BA4 4HA,10:40,11:10
157,Wells,F,Thursday,4/21/2016,Doulting School,BA4 4PL,11:30,12:00
158,Wells,F,Thursday,4/21/2016,Barley Mow,BA4 6DY,12:15,12:40
159,Wells,F,Thursday,4/21/2016,Gartons Mead,BA4 6JH,12:55,13:25
160,Wells,G,Friday,4/22/2016,Elliscombe Park,BA9 8EA,9:30,9:55
161,Wells,G,Friday,4/22/2016,Old Orchard layby,BA9 8NE,10:15,10:25
162,Wells,G,Friday,4/22/2016,Chapel Lane,BA8 0BR,10:40,11:10
163,Wells,G,Friday,4/22/2016,School Lane (Playgroup),BA8 0HP,11:25,12:00
164,Wells,G,Friday,4/22/2016,North Road,DT9 4NS,12:15,12:35
165,Wells,G,Friday,4/22/2016,Sigwells � Beech Farm,DT9 4LQ,12:45,12:55
